title_ko,title_en,author,style,upload_date
미움받을 용기,The Courage to Be Disliked,,summary+video,2026-03-15
순교자,The Martyred,Richard E. Kim,ildangbaek,2026-03-15
임사체험,Near Death Experiences,다치바나 다카시,ildangbaek,2026-03-14
달과 6펜스,The Moon and Sixpence,,summary+video,2026-03-14
왜 일하는가,Why Work,,summary+video,2026-03-13
아메리칸 프로메테우스,American Prometheus,Kai Bird,ildangbaek,2026-03-13
사피엔스,Sapiens,유발 하라리,ildangbaek,2026-03-12
폰더 씨의 위대한 하루,The Traveler's Gift,,summary+video,2026-03-12
사람을 얻는 지혜,The Art of Worldly Wisdom,,summary+video,2026-03-11
호밀밭의 파수꾼,The Catcher in the Rye,J.D. 샐린저,ildangbaek,2026-03-11
어린왕자,The Little Prince,앙투안 드 생텍쥐페리,ildangbaek,2026-03-10
일류의 조건,Condition of the First-Class,,summary+video,2026-03-10
타이탄의 도구들,Tools of Titans,,summary+video,2026-03-09
갈매기,The Seagull,Anton Chekhov,ildangbaek,2026-03-09
복종,Submission,미셸 우엘백,ildangbaek,2026-03-08
레버리지,Leverage,,summary+video,2026-03-08
타인의 고통,Regarding the Pain of Others,,summary+video,2026-03-07
춘향전 토끼전 심청전,Korean Classic Tales,,ildangbaek,2026-03-07
장자,Zhuangzi,,ildangbaek,2026-03-06
더 리더,The Reader,,summary+video,2026-03-05
에밀,Emile,Jean-Jacques Rousseau,ildangbaek,2026-03-05
파친코,Pachinko,,summary+video,2026-03-04
꿈의 해석,The Interpretation of Dreams,Sigmund Freud,ildangbaek,2026-03-04
빅 히스토리,Big History,,summary+video,2026-03-03
우리는 무엇을 타고나는가,Innate,,summary+video,2026-03-02
불교의 성전 & 원시불교 연구,에드워드 콘제,,ildangbaek,2026-03-02
,Buddhist Scriptures & Early Buddhism,,ildangbaek,2026-03-02
,The Clash of Civilizations,,summary+video,2026-03-01
The Clash of Civilizations,5분 핵심 요약,,summary+video,2026-03-01
오만과 편견,Pride and Prejudice,Jane Austen,ildangbaek,2026-03-01
삼미 슈퍼스타즈의 마지막 팬클럽,The Last Fan Club of Sammi Superstars,박민규,ildangbaek,2026-02-28
,To Kill a Mockingbird: Harper Lee,,summary+video,2026-02-28
백년 동안의 고독,One Hundred Years of Solitude,Gabriel García Márquez,ildangbaek,2026-02-27
국화와 칼,The Chrysanthemum and the Sword,Ruth Benedict,ildangbaek,2026-02-26
괴테는 모든 것을 말했다: 스즈키 유이,Goethe Said It All,,summary+video,2026-02-26
,Goethe Said It All: Yui Suzuki,,summary+video,2026-02-26
다윈의 종의 기원,On the Origin of Species,Charles Darwin,ildangbaek,2026-02-24
,THE 2028 GLOBAL INTELLIGENCE CRISIS,,summary+video,2026-02-24
한국의 명칼럼니스트,Famous Korean Columnists,,ildangbaek,2026-02-24
세이노의 가르침: 세이노,Seinos Teachings,,summary+video,2026-02-24
,Seinos Teachings: Seino,,summary+video,2026-02-24
침팬지 폴리틱스,Chimpanzee Politics,,summary+video,2026-02-22
한국의 수필,Korean Essays,"Pi Chon-deuk, Beopjeong, Shin Yeong-bok",ildangbaek,2026-02-22
파우스트,Faust,괴테,ildangbaek,2026-02-21
마법 같은 언어,The Magical Language of Others,,summary+video,2026-02-21
청춘의 독서,Youth and Reading,,summary+video,2026-02-20
신부님 우리들의 신부님,Don Camillo,조반니 과레스키,ildangbaek,2026-02-20
몸의 일기,Journal d'un corps,,summary+video,2026-02-19
요네하라 마리 에세이집,Yonehara Mari Essays,요네하라 마리,ildangbaek,2026-02-18
자사의 중용,The Doctrine of the Mean,,summary+video,2026-02-18
한국전쟁,The Korean War,Bruce Cumings,ildangbaek,2026-02-17
,Principles: Ray Dalio,,summary+video,2026-02-17
원칙: 레이 달리오,Principles,,summary+video,2026-02-17
소호강호,The Smiling Proud Wanderer,Jin Yong,ildangbaek,2026-02-16
역사는 어떻게 진보하고 왜 퇴보하는가,The Age of Revolutions,,summary+video,2026-02-16
"살아남은 자의 슬픔, 억척어멈과 그 자식들",배경지식,베르톨트 브레히트,ildangbaek,2026-02-15
편안함의 습격,The Comfort Crisis,,summary+video,2026-02-15
생각의 지도,The Geography of Thought,,ildangbaek,2026-02-14
,Project Hail Mary: Andy Weir,,summary+video,2026-02-14
프로젝트 헤일메리: 앤디 위어,Project Hail Mary,,summary+video,2026-02-14
종의 기원: 정유정,The Good Son,,summary+video,2026-02-13
사피엔스의 미래,Future of Sapiens,,ildangbaek,2026-02-13
